t,x,y,x_ref,y_ref,target_x,target_y,vx_ref,vy_ref,support,left_foot_x,left_foot_y,left_foot_z,left_knee_x,left_knee_y,left_knee_z,right_foot_x,right_foot_y,right_foot_z,right_knee_x,right_knee_y,right_knee_z,apple_x,apple_y,apple_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,apple_caught,wbc_control,arm_error_x,arm_error_y,arm_error_z,arm_force_x,arm_force_y,arm_force_z
0.15,0.0006109118854132206,4.642591359004742e-05,0.008624489864824328,0.0005174693918894596,2.5,0.15,0.09582766516471475,0.005749659909882883,right_stance,0.12116495731820408,-0.157349457585803,0.0988365256778562,-0.003916032526843659,-0.14533021939396182,0.3892899899978951,0.025239173088005655,0.14145512440231384,0.07269837050081525,-0.009899201471022807,0.12879660750325514,0.38798204537255127,2.35,-0.18,2.15,0.02543774243945521,-0.23187202877422458,0.7203321406881378,-0.1357602623182196,0.23573100794576135,0.6467652496597436,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.16,0.0009862423162224354,6.948033221045556e-05,0.009672604952563396,0.0005803562971538036,2.5,0.15,0.10181689423750942,0.006109013654250563,right_stance,0.11892894619975898,-0.15850912142388734,0.0995398593146265,-0.008238882475358568,-0.14643373562767747,0.3889935567749715,0.030172927238824584,0.14174722930436937,0.0723771159937883,-0.007388942862713577,0.12894775761252553,0.3873732492441258,2.35,-0.18,2.15,0.02865012195159168,-0.23166301948645393,0.7198552422956451,-0.13827903838801336,0.235353585724213,0.6467537582856021,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.17,0.0014051386852451577,9.512394904108467e-05,0.01078061233103041,0.0006468367398618244,2.5,0.15,0.10780612331030409,0.0064683673986182435,right_stance,0.11661280338134539,-0.15964195107180074,0.10014727121572004,-0.012507763497892378,-0.14751177144010735,0.3886420815981523,0.0352264079747494,0.14204669936080355,0.0719695985893555,-0.004783241875096392,0.12910460950647182,0.3866559561313414,2.35,-0.18,2.15,0.031769422088096556,-0.23145596329711954,0.719271036115616,-0.14061257801975313,0.2349929350984421,0.6466039468241068,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.18,0.001867762360810316,0.00012336483199397333,0.011948512000225371,0.0007169107200135221,2.5,0.15,0.11379535238309876,0.006827721142985924,right_stance,0.11421630439760805,-0.16075195706697784,0.10066291112584405,-0.01671269046440258,-0.14856170322062093,0.38824782092332,0.04039843192803462,0.14235347540692816,0.07149103963614786,-0.002082031361579556,0.12926716559970183,0.38584492123177205,2.35,-0.18,2.15,0.03478936865028835,-0.23125194693891016,0.7185898071711422,-0.14275458025319843,0.2346507431700313,0.646326371148662,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.19,0.0023742706399841416,0.00015421087278497895,0.013176303960148279,0.0007905782376088965,2.5,0.15,0.11978458145589344,0.007187074887353604,right_stance,0.11173918324992828,-0.16184276111343163,0.10109235196413527,-0.020843844966675414,-0.14958084390314644,0.38782456411067256,0.04568784558686121,0.1426674995701602,0.0709587350902372,0.0007147381290885865,0.1294354273131825,0.3849569947466859,2.35,-0.18,2.15,0.03770406916400465,-0.23105203497348004,0.7178239149209582,-0.14469911787139833,0.2343286483796596,0.6459337257137632,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.2,0.0029248165407378904,0.00018766978161972533,0.014463988210799134,0.0008678392926479478,2.5,0.15,0.1257738105286881,0.007546428631721284,right_stance,0.10918107224790218,-0.16291749007941178,0.10144237102037824,-0.024891619921573814,-0.15056645258872897,0.3873873499770658,0.05109352681944,0.14298871530899177,0.07039175532563155,0.003607097349770133,0.1296093950212129,0.38401082007341186,2.35,-0.18,2.15,0.04050802177341891,-0.23085726120533187,0.7169875298620229,-0.14644064474738255,0.23402822976827303,0.6454405662975549,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.21,0.003519548617838519,0.00022374908304744303,0.015811564752177935,0.0009486938851306758,2.5,0.15,0.13176303960148278,0.007905782376088964,right_stance,0.10654144176233633,-0.16397868271449487,0.10172070909809224,-0.02884666164981557,-0.151515745359573,0.3869521549885926,0.056614386224146586,0.14331706744339517,0.0698106113458272,0.006595057358861012,0.12978906799856002,0.383026498214765,2.35,-0.18,2.15,0.04319612248455116,-0.23066862034988952,0.7160963355721761,-0.14797400202583386,0.2337509965943185,0.6448629983320115,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.22,0.004158610803790576,0.0002624561130144059,0.01721903358428468,0.0010331420150570807,2.5,0.15,0.13775226867427745,0.008265136120456644,right_stance,0.10381954126129714,-0.16502821058756012,0.10193581352917892,-0.032699909039926825,-0.15242590720844496,0.3865355591720039,0.062249368295947655,0.14365250217643108,0.06923689378243178,0.009678608532796382,0.12997444436780597,0.382025224803397,2.35,-0.18,2.15,0.04576367090825741,-0.2304870600249633,0.7151672022250496,-0.14929442323845785,0.2334983783868073,0.644218337014387,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.23,0.004842142276067897,0.0003037980171451557,0.018686394707119375,0.0011211836824271623,2.5,0.15,0.14374149774707212,0.008624489864824324,right_stance,0.10101434294128131,-0.16606721427268145,0.10239809279058389,-0.03644262947620002,-0.15329410500026747,0.3864559177485676,0.06799745240003506,0.14399496710685286,0.06899441304962711,0.01285771958868033,0.13016552104695314,0.3813304281223787,2.35,-0.18,2.15,0.048206374666793415,-0.23031347313080408,0.7145193596096143,-0.15039753845767334,0.23327171550912718,0.6438262673864018,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.24,0.005570277351778858,0.0003477817502761261,0.020213648120682017,0.0012128188872409208,2.5,0.15,0.1497307268198668,0.008983843609192004,right_stance,0.09812448918406462,-0.16709605534498934,0.10361222346396011,-0.04006645128337798,-0.15411750137625282,0.3872255796155696,0.07385765354428071,0.14434441123252661,0.0696013821936471,0.016132336618514938,0.13036229369733152,0.38145994967429503,2.35,-0.18,2.15,0.05052035263781221,-0.23014869067956484,0.7146666108773326,-0.15127937759672566,0.23307225030329556,0.6442010457494307,False,impedance-mpc,nan,nan,nan,nan,nan,nan
